area_fips,own_code,industry_code,year,qtr,qtrly_estabs_count,month1_emplvl,month2_emplvl,month3_emplvl,,total_qtrly_wages,taxable_qtrly_wages,qtrly_contributions,avg_wkly_wage
36069,5,72,1990,4,204,2906,2720,2657,,5252745,0,0,146
36071,1,72,1990,1,4,734,716,743,,1840782,0,0,194
36071,1,72,1990,2,4,676,669,709,,2315202,0,0,260
36071,1,72,1990,3,4,721,707,661,,2106357,0,0,233
36071,1,72,1990,4,4,843,839,773,,2565494,0,0,241
36071,5,72,1990,1,593,6553,6436,6701,,15797614,0,0,185
36071,5,72,1990,2,605,6615,7164,7640,,17355820,0,0,187
36071,5,72,1990,3,617,7859,7873,7414,,18973028,0,0,189
36071,5,72,1990,4,618,7184,6941,6872,,17457833,0,0,192
36073,5,72,1990,1,66,637,641,666,,871066,0,0,103
36073,5,72,1990,2,68,706,753,777,,1054003,0,0,109
36073,5,72,1990,3,70,749,778,737,,1090360,0,0,111
36073,5,72,1990,4,69,676,652,634,,1038985,0,0,122
36075,5,72,1990,1,248,2350,2398,2525,,4819787,0,0,153
36075,5,72,1990,2,251,2640,2761,2726,,5346976,0,0,152
36075,5,72,1990,3,254,2745,2808,2901,,5892572,0,0,161
36075,5,72,1990,4,251,2860,2677,2590,,5945655,0,0,169
36077,5,72,1990,1,155,1419,1786,1880,,2965679,0,0,135
36077,5,72,1990,2,160,1662,2248,1993,,4027111,0,0,157
36077,5,72,1990,3,161,2019,2046,2374,,4807510,0,0,172
36077,5,72,1990,4,163,2397,2147,2045,,4269859,0,0,150
36079,5,72,1990,1,137,941,951,1012,,2349272,0,0,187
36079,5,72,1990,2,137,963,1034,1110,,2637757,0,0,196
36079,5,72,1990,3,141,1497,1633,1064,,3253357,0,0,179
36079,5,72,1990,4,138,1020,1001,990,,2609276,0,0,200
36081,5,72,1990,1,2390,24142,24257,24640,,76182355,0,0,241
36081,5,72,1990,2,2413,25038,25694,26287,,81297346,0,0,244
36081,5,72,1990,3,2421,25455,25424,26039,,83037551,0,0,249
36081,5,72,1990,4,2408,24546,24658,24828,,85281833,0,0,266
36083,5,72,1990,1,253,2669,2533,2591,,4790211,0,0,142
36083,5,72,1990,2,249,2590,2751,2782,,5085102,0,0,144
36083,5,72,1990,3,248,2880,2838,2744,,5529421,0,0,151
36083,5,72,1990,4,246,2611,2618,2631,,4888599,0,0,144
36085,5,72,1990,1,467,4015,4095,4378,,8669522,0,0,160
36085,5,72,1990,2,477,4626,4719,4804,,9766856,0,0,159
36085,5,72,1990,3,482,4682,4732,4716,,10258799,0,0,168
36085,5,72,1990,4,487,4461,4498,4515,,10617404,0,0,182
36087,5,72,1990,1,467,5144,5209,5422,,14106242,0,0,206
36087,5,72,1990,2,469,5324,5825,6157,,16289873,0,0,217
36087,5,72,1990,3,481,5739,6014,5922,,16005032,0,0,209
36087,5,72,1990,4,484,5593,5518,5379,,15876031,0,0,222
36089,5,72,1990,1,242,2661,2925,3000,,4372129,0,0,118
36089,5,72,1990,2,242,3028,3289,3218,,4580127,0,0,111
36089,5,72,1990,3,258,2982,3097,3443,,5288533,0,0,128
36089,5,72,1990,4,257,3555,3609,3598,,5644104,0,0,121
36091,5,72,1990,1,332,4313,4327,4354,,9058350,0,0,161
36091,5,72,1990,2,332,4470,4709,5114,,10379797,0,0,168
36091,5,72,1990,3,341,5454,5830,5058,,12623735,0,0,178
36091,5,72,1990,4,341,4600,4450,4526,,10375791,0,0,176
36093,5,72,1990,1,274,2859,2875,2871,,5935453,0,0,159
36093,5,72,1990,2,279,3006,3063,3104,,6318071,0,0,159
36093,5,72,1990,3,276,2891,2926,2888,,6291762,0,0,167
36093,5,72,1990,4,281,2974,2963,2911,,6260289,0,0,163
36095,5,72,1990,1,53,403,417,424,,679473,0,0,126
36095,5,72,1990,2,55,420,461,507,,843033,0,0,140
36095,5,72,1990,3,52,532,527,498,,1016541,0,0,151
36095,5,72,1990,4,52,444,430,425,,888166,0,0,158
36097,5,72,1990,1,40,216,203,213,,374505,0,0,137
36097,5,72,1990,2,47,264,328,396,,607974,0,0,142
36097,5,72,1990,3,46,517,538,455,,927126,0,0,142
